S.No.,Name,Time
1,Beast,0.4240880012512207
2,Beast,5.977972984313965
3,Beast,7.6360924243927
4,Beast,8.910973310470581
5,Beast,9.532155513763428
6,Beast,10.261878252029419
7,Beast,14.883114576339722
8,Beast,29.2639479637146
9,Beast,30.92891240119934
10,Beast,32.575767993927
11,Beast,34.01071858406067
12,Beast,37.33265399932861
13,Beast,39.12608218193054
14,Beast,39.71622920036316
15,Beast,40.16237688064575
16,Beast,41.193013429641724
17,Beast,41.42905330657959
